Louisville,29,5,85.7090560639601,10.99201958044108,58.38412823725049,11.34435010687664
Wichita St,34,0,78.59680757404888,7.712714292758973,56.860280666573566,9.912091173266509
Florida,32,2,73.33785467361899,7.031464503200066,53.277400107914794,10.273334290998479
Villanova,28,4,81.0497400257135,10.051272462276222,63.599429220499104,12.355223069491743
Duke,26,8,83.18232572262801,11.160537866181418,65.81837763409976,11.094315944882183
Kansas,24,9,83.74925246898097,9.860039366087143,66.65134744207019,9.408232199592193
Arizona,29,5,76.08790237769463,9.859345970499788,59.08408569662573,15.05220776488722
Iowa,20,12,86.23071164335886,11.218589719836041,69.46024778109556,11.740259954857478
VA Commonwealth,26,8,78.1560585592061,9.728603119486163,61.830281308687724,9.774969687714906
Wisconsin,26,7,77.49329929162765,9.902208062685673,61.41962303782471,10.370598383583818
Michigan St,26,8,78.67389613129849,12.852670581554904,62.665719976810905,9.375470341793465
Gonzaga,28,6,77.52713156211462,11.978964079605985,61.59775925889545,10.76511619502824
Kentucky,24,10,79.15195347477538,9.621672362226656,63.24780440491204,9.462165848272269
Oklahoma St,21,12,82.72242291853422,12.076462112500655,66.84254754201575,10.526623664685829
Pittsburgh,25,9,75.84526466111784,10.96222693562957,59.992777981726334,9.7015598779947
Creighton,26,7,81.07363582181416,13.408516856006893,65.27125201641141,8.920872033405074
Michigan,25,8,77.59313361834838,10.562324020390903,61.88872479719284,8.494803653411035
Ohio St,25,9,71.76027928386851,9.541278237673268,56.18247867629586,11.240450750576862
Tennessee,21,12,73.08103979586325,10.719295748640631,57.540835221380696,10.114532957943918
UCLA,26,8,84.00084269908008,12.610472393759183,68.65259999116545,8.195722829604495
San Diego St,29,4,70.43150123824715,12.261509106832577,55.224435234119305,12.209472540932225
Virginia,28,6,67.72223364211258,8.861184541909315,52.65592558325559,12.835143732107985
Louisiana Tech,27,7,80.03595168092812,15.396215821605196,65.12639140138513,12.412848294574731
Cincinnati,27,6,69.3684741098732,12.574365012460918,54.526395416768274,10.09669667858517
Connecticut,26,8,73.49779958990916,10.53569513397035,59.121485516535195,9.75937730408944
NC Central,28,5,72.65362603855984,11.33055791830049,58.725591564612145,9.996139047190486
Iowa St,26,7,85.73097623171311,11.732120646946042,71.98923702499677,10.036509097062098
St Louis,26,6,71.78031832116518,7.641491694328169,58.19873648604119,9.503982742627723
SF Austin,31,2,75.54190767619198,10.391612634526279,62.06818649986249,8.86909670118625
Harvard,26,4,75.02655017387542,10.86947585347304,61.960013382053916,13.93533091620267
Syracuse,27,5,69.4704760375643,10.431876694289448,56.61014238493857,10.555101849645716
New Mexico,27,6,77.11776616760326,10.911377837526961,64.29694364575074,10.72628529772907
Utah,21,11,73.38446886011752,17.095709019342856,60.63140169412601,7.856193553436179
SMU,23,9,72.76058415724886,8.726503616438807,60.0657172599808,9.538287917882183
New Mexico St,26,9,78.63386400899978,10.575942121287905,66.58308024083803,11.196031007583743
North Carolina,23,9,79.12266153720876,11.950967494814645,67.36897426757754,9.228699140279877
Southern Miss,27,6,72.22928820321096,10.724293156900295,60.87706051058967,9.422011241715387
Mercer,26,8,76.92501026888895,13.052923061684856,65.58408119511502,13.917684745972391
Arkansas,21,11,81.89289820736192,13.880168144376015,70.60710332720627,10.095520225378863
N Dakota St,25,6,77.05147740020466,10.505193715532865,65.87087092402611,12.052655425992807
Georgia St,25,7,78.55201523520047,10.756164059531924,67.37766802537058,12.109188088193493
Baylor,24,11,75.47768248222165,11.10622378197516,64.35409402854887,8.335602213512846
Memphis,23,9,79.25002673963009,11.314380549737963,68.32196180749183,11.1613577775168
Oklahoma,23,9,84.61277951426035,11.639128297060115,73.86803911538041,9.927055815426357
Oregon,23,9,83.03251334528431,13.308330608976997,72.30899940241001,12.333038496687971
WI Green Bay,24,6,75.34983974913973,10.753294534331715,64.70384530718242,12.769071329534631
Arizona St,21,11,77.6611866937207,9.853325721655024,67.02015773293586,10.210088636510822
BYU,23,11,85.80447222285613,13.400676635997014,75.29320335169655,12.973032854568622
St Mary's CA,22,11,72.80872579375624,11.688046170932118,62.42274684501707,8.064569519993476
G Washington,24,8,75.16125529761958,10.255398329756709,64.87782216102013,9.869081987186261
Florida St,19,13,74.19349526552205,10.676676172593764,64.03431429750401,8.994352598236233
Stanford,21,12,75.47400340349077,10.371895764757003,65.94243580368305,11.062998063597464
Vermont,22,10,70.644222445841,10.22334912797495,61.188289350882776,13.03469287448821
Texas,23,10,76.16406578627836,9.433829658436796,66.76534100034847,10.051540992230676
St John's,20,12,74.43738537857067,10.513842969377283,65.11420183696721,11.263962311614069
Minnesota,20,13,74.35142133371185,10.25043516508438,65.03693710114942,10.156472950548881
Massachusetts,24,8,78.62188716248966,10.58717846304883,69.53123298919613,10.571674724016308
UNLV,20,13,73.01537666949417,9.797947971245309,63.95156808682175,10.716001807808498
Xavier,21,12,74.7214890985531,9.817790527371693,65.77877229647832,10.746989219489857
Dayton,23,10,75.29775655480205,9.411022398327285,66.43026511811593,10.581833242584011
Boise St,21,13,76.64211049743572,13.624437871963647,67.83261950696716,9.985144592983401
Colorado,23,11,72.44512278673702,12.55922336980712,63.64022315204309,8.673341282745282
Manhattan,25,7,77.83352685453791,8.93178691864654,69.03417631928978,8.746150812383636
Middle Tenn St,24,9,69.71669718291564,14.043455671420292,61.07629036130448,10.914158181532805
St Joseph's PA,24,9,73.01102037618132,8.470427643919015,64.72530902425089,10.435606443298399
Providence,23,11,75.97792405355659,10.318113837461741,67.86261116955436,11.079389930343615
West Virginia,17,15,79.36146452387086,12.436211936426602,71.53277119566813,10.469796408472613
